t_id,t_class_id,t_buff_during,t_buff_gap,t_buff_trigger_buff,t_buff_trigger_layers,t_buff_add_odd,t_buff_param_id,t_descId
~s,~s,~s,~s,~s,~s,~s,~s,~s
int64,int64,int32,int32,int32,int32,int32,int64[],int64
Id,buff类型ID（1003改变属性；1004造成伤害 ）,持续时间（毫秒）(-1 一直存在),buff生效间隔（毫秒）（-1一直生效）,buff触发buff（即有此buff时，造成伤害会触发下面的buff）,触发时添加时层数,buff添加成功的几率（放大1000倍 不填表示肯定成功）,buff参数（属性类型）,buff描述
920000,1003,-1,-1,0,0,1000,900000,910000
920001,1003,-1,-1,0,0,1000,900001,910001
920002,1003,-1,-1,920005,1,1000,900002,910002
920003,1003,-1,-1,0,0,1000,900003,910003
920004,1003,-1,-1,920005,1,1000,900004,910004
920005,1003,3000,-1,0,0,1000,900005,910005
920006,1003,3000,-1,0,0,1000,900006,910006
920100,1003,-1,-1,0,0,1000,900100,910100
920101,1003,-1,-1,0,0,1000,900101,910101
920102,1003,-1,-1,0,0,1000,900102,910102
920103,1003,-1,-1,0,0,1000,900103,910103
920104,1003,-1,-1,0,0,1000,900104,910104
920200,1003,-1,-1,0,0,1000,900200,910200
920201,1003,-1,-1,0,0,1000,900201,910201
920202,1003,-1,-1,0,0,1000,900202,910202
920203,1003,-1,-1,0,0,1000,900203,910203
920204,1003,-1,-1,0,0,1000,900204,910204
920300,1003,-1,-1,0,0,1000,900300,910300
920301,1003,-1,-1,0,0,1000,900301,910301
920302,1003,-1,-1,0,0,1000,900302,910302
920303,1003,-1,-1,0,0,1000,900303,910303
920304,1003,-1,-1,0,0,1000,900304,910304
921000,1004,100,-1,0,0,1000,901000,911000
921001,1003,10000,-1,0,0,1000,901001,911001
921002,1003,10000,-1,0,0,1000,901002,911002
921003,1003,10000,-1,0,0,1000,901003,911003
921004,1003,10000,-1,0,0,1000,901004,911004
921005,1004,5000,500,0,0,1000,901000,911005
922000,1004,5000,-1,0,0,1000,902000,912000
