t_id,t_name,t_desc,t_battle_icon,t_effect_type,t_buff_addEffect,t_specialbuff_pos,t_specialbuff_sound,t_buff_replace_type,t_buff_priority,t_special_action
~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s
int64,string,string,string,int32,string,string,string,int32,int32,int32
Id,buff名字,buff描述,战斗中显示图标,效果类型（0=无所谓 1=正面 2=负面）,添加buff的特效,特效挂点（BuffPos),buff音效,这里需要补充说明？？,buff替换优先级？？这里需要补充明说,0没有 1眩晕
910000,,,0,1,0,,,,,0
910001,,,0,1,0,,,,,0
910002,,,0,1,0,,,,,0
910003,,,0,1,0,,,,,0
910004,,,0,1,0,,,,,0
910005,,,0,1,0,,,,,0
910006,,,0,1,0,,,,,0
910200,,,0,1,0,,,,,0
910201,,,0,1,0,,,,,0
910202,,,0,1,0,,,,,0
910203,,,0,1,0,,,,,0
910204,,,0,1,0,,,,,0
911000,,,0,0,0,,,,,0
911001,,,0,1,prefab/effects/eff_player0_buff.jpg,effpos,,,,0
911002,,,0,1,prefab/effects/eff_player0_buff.jpg,effpos,,,,0
911003,,,0,1,prefab/effects/eff_player2_buff.jpg,effpos,,,,0
911004,,,0,1,prefab/effects/eff_player2_buff.jpg,effpos,,,,0
900206,td_buff_role1_lv2_name,td_buff_role1_lv2_desc,texture/buff/ability_skill/ui_skill_icon_buff.jpg,1,0,,,9206,1,0
900207,td_buff_role1_lv4_name,td_buff_role1_lv4_desc,texture/buff/ability_skill/ui_skill_icon_buff.jpg,1,0,,,9207,1,0
900208,td_buff_role2_lv2_name,td_buff_role2_lv2_desc,texture/buff/ability_skill/ui_skill_icon_claw.jpg,1,0,,,9208,1,0
900209,td_buff_role2_lv4_name,td_buff_role2_lv4_desc,texture/buff/ability_skill/ui_skill_icon_claw.jpg,1,0,,,9209,1,0
900210,td_buff_role3_lv2_name,td_buff_role3_lv2_desc,texture/buff/ability_skill/ui_skill_icon_beam.jpg,1,0,,,9210,1,0
900211,td_buff_role3_lv4_name,td_buff_role3_lv4_desc,texture/buff/ability_skill/ui_skill_icon_beam.jpg,1,0,,,9211,1,0
900212,td_buff_role4_lv2_name,td_buff_role4_lv2_desc,texture/buff/ability_skill/ui_skill_icon_fly.jpg,1,0,,,9212,1,0
900213,td_buff_role4_lv4_name,td_buff_role4_lv4_desc,texture/buff/ability_skill/ui_skill_icon_fly.jpg,1,0,,,9213,1,0
910100,,,0,1,0,,,,,0
910101,,,0,1,0,,,,,0
910102,,,0,1,0,,,,,0
910103,,,0,1,0,,,,,0
910104,,,0,1,0,,,,,0
910200,,,0,1,0,,,,,0
910201,,,0,1,0,,,,,0
910202,,,0,1,0,,,,,0
910203,,,0,1,0,,,,,0
910204,,,0,1,0,,,,,0
910300,,,0,1,0,,,,,0
910301,,,0,1,0,,,,,0
910302,,,0,1,0,,,,,0
910303,,,0,1,0,,,,,0
910304,,,0,1,0,,,,,0
