t_id,t_buff_maxnum,t_atk,t_atk_percen,t_hp,t_hp_percen,t_crit,t_crit_damage,t_move_speed,t_move_speed_percen,t_atk_speed,t_atk_speed_percen,t_amp,t_duration,t_attack_range
~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s
int64,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32
Id,最大叠加层数,0:攻击力,2:攻击百分比（1000=100%）,5:生命值,7:最大生命百分比（放大1000倍）,10:暴击率（1000=100%）,15:暴击伤害（1000=100%）,20:移动速度（mm/s）,22:移动速度百分比（放大1000倍）,25:攻击速度（1000=100%）,27:攻击速度百分比（放大1000倍）,30:伤害加深（1000=100%）,35:状态时间（ms），填多少就直接加多少。,40:警戒范围（放大1000倍）
900000,1,7,0,1,0,150,1400,0,0,2000,0,1000,0,10000
900001,1,7,1400,1,0,200,1700,0,0,2000,0,1000,0,10000
900002,1,7,1400,1,0,200,1700,0,0,2000,0,1000,0,10000
900003,1,7,2200,1,0,300,1930,0,0,2000,0,1050,0,10000
900004,1,7,2200,1,0,300,1930,0,0,2000,0,1050,0,10000
900005,10,0,0,0,0,0,0,0,0,0,0,0,0,0
900006,5,0,0,0,0,0,0,0,0,0,0,150,0,0
900100,1,6,0,1,0,120,1700,0,0,1000,0,1300,0,10000
900101,1,6,1500,1,0,170,1850,0,0,1000,0,1300,0,10000
900102,1,6,1500,1,0,170,1850,0,0,1000,0,1300,0,10000
900103,1,6,2150,1,0,230,1850,0,0,1000,0,1450,0,10000
900104,1,6,2150,1,0,230,1850,0,0,1000,0,1450,0,10000
900200,1,8,0,1,0,30,1900,0,0,1000,0,1000,0,10000
900201,1,8,1550,1,0,30,2200,0,0,1000,0,1000,0,10000
900202,1,8,1550,1,0,30,2200,0,0,1500,0,1000,0,10000
900203,1,8,2000,1,0,30,3000,0,0,1500,0,1000,0,10000
900204,1,8,2000,1,0,30,3000,0,0,1000,0,1000,0,10000
900300,1,6,0,1,0,200,1600,0,0,1600,0,1000,0,10000
900301,1,6,1300,1,0,300,1600,0,0,1600,0,1000,0,10000
900302,1,6,1300,1,0,300,1600,0,0,1600,0,1000,0,10000
900303,1,6,2050,1,0,550,1820,0,0,1600,0,1200,0,10000
900304,1,6,2050,1,0,550,1820,0,0,1600,0,1200,0,10000
901000,1,0,0,0,0,0,0,0,0,0,0,0,0,0
901001,1,0,0,0,0,0,600,0,0,0,0,0,0,0
901002,1,0,0,0,0,0,0,0,0,0,0,0,0,0
901003,1,0,0,0,0,1000,0,0,0,0,0,0,0,0
901004,1,0,0,0,0,0,0,0,0,0,0,0,0,0
902000,1,0,0,0,0,0,-250,0,0,0,0,1200,0,10000
999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0
