t_id,t_class_id,t_skill_damage,t_bbt_damage,t_move_speed,t_penetrate,t_size,t_max_time,t_trajectory,t_Gravity,t_tracking_range,t_effect_abname,t_bullet_hittarget_buff_id,t_hit_sound,t_trigger_bullet_id,t_trigger_bullet_count,t_trigger_type,t_trigger_Y
~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s
int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,int32,string,int64[],int32,int32,int32,int32,int32
子弹Id ,"子弹类ID CommonSkill = 1001,CommonBulletSkill = 1002,CommonTriggerSkill = 1003,DashSkill = 1004,NormalBuff = 1005,GroundLineMoveSkill = 1007,",技能伤害（1000=100%）,棒棒糖伤害，只对其生效,子弹移动速度,子弹类型（0 穿透   1击中结束）,子弹大小（0表示单个目标  非0按照范围内计算 放大1000倍）,子弹存在时间,子弹轨迹（0直线 1抛物线 2追踪）,重力（仅对抛物线子弹生效）,追踪范围（仅对追踪子弹生效，以子弹的发射点作为圆心）,子弹预制件,子弹击中时为目标添加Buff,子弹击中音效,子弹触发子弹,触发子弹数量,触发方式（0结束触发）,始终贴着地面（1000=1米 0忽略）
1000,1002,500,1,50000,1,0,5000,0,0,0,prefab/bullet/huoqiu.jpg,921000,11,,,,0
1001,1002,1600,0,15000,0,2000,1000,0,0,0,prefab/bullet/eff_player0_dazhao_zidan.jpg,921000,,,,,0
1200,1002,0,8,10000,1,0,8000,1,500,0,prefab/bullet/eff_player2_zidan.jpg,921000,31,1206,1,0,0
1201,1002,0,6,10000,1,0,8000,1,500,0,prefab/bullet/eff_player2_zidan.jpg,921000,31,1207,1,0,0
1202,1002,300,0,0,0,1000,2000,0,0,0,prefab/bullet/eff_player2_zhuoshao.jpg,921005+922000,,,,,10
1203,1002,0,0,100,1,0,100,0,0,0,,,,1204,5,0,0
1204,1002,1060,0,15000,1,0,3500,2,0,100000,prefab/bullet/eff_player2_zidan.jpg,921000,31,1205,1,0,0
1205,1002,300,0,0,0,1000,2000,0,0,0,prefab/bullet/eff_player2_zhuoshao.jpg,921005+922000,,,,,10
1206,1002,1000,0,0,1,2500,1000,0,0,0,,921000,,1208,1,0,0
1207,1002,1000,0,0,1,2500,1000,0,0,0,,921000,,1202,1,0,0
1208,1002,0,0,0,0,1500,3300,0,0,0,prefab/bullet/eff_player2_zhuoshao_nodamage.jpg,,,,,,10
