t_id,t_name,t_scene,t_monster_ids,t_wave_interval_ms,t_Rewards_Exp,t_Rewards_Coin,t_hp_up1,t_hp_up2,t_hp_up3,t_hp_up4
占位,~s,~s,~s,~i,~s,~s,~s,~s,~s,~s
int32,string,string,int64[][],int32,int32,int32,int32,int32,int32,int32
Id,无尽挑战,,怪物的id+数量+生命值,波次间隔(毫秒),击杀经验奖励,击杀金币奖励,单人怪物血量倍率（1000=1倍）,2人,3人,4人
1,1,scene/battle/battle0.jpg,1+30+12,20000,10,1,1000,1800,2400,3200
2,2,scene/battle/battle0.jpg,1+15+27|2+15+27,20000,10,1,1000,1800,2400,3200
3,3,scene/battle/battle0.jpg,1+15+30|2+15+30,20000,,,,,,
4,4,scene/battle/battle0.jpg,2+15+32|3+15+32,20000,,,,,,
5,5,scene/battle/battle0.jpg,2+15+36|3+15+36,20000,,,,,,
6,6,scene/battle/battle0.jpg,,20000,,,,,,
7,7,scene/battle/battle0.jpg,,20000,,,,,,
8,8,scene/battle/battle0.jpg,,20000,,,,,,
9,9,scene/battle/battle0.jpg,,20000,,,,,,
10,10,scene/battle/battle0.jpg,,20000,,,,,,
11,11,scene/battle/battle1.jpg,,20000,,,,,,
12,12,scene/battle/battle1.jpg,,20000,,,,,,
13,13,scene/battle/battle1.jpg,,20000,,,,,,
14,14,scene/battle/battle1.jpg,,20000,,,,,,
15,15,scene/battle/battle1.jpg,,20000,,,,,,
16,16,scene/battle/battle1.jpg,,20000,,,,,,
17,17,scene/battle/battle1.jpg,,20000,,,,,,
18,18,scene/battle/battle1.jpg,,20000,,,,,,
19,19,scene/battle/battle1.jpg,,20000,,,,,,
20,20,scene/battle/battle1.jpg,,20000,,,,,,
21,21,scene/battle/battle2.jpg,,20000,,,,,,
22,22,scene/battle/battle2.jpg,,20000,,,,,,
23,23,scene/battle/battle2.jpg,,20000,,,,,,
24,24,scene/battle/battle2.jpg,,20000,,,,,,
25,25,scene/battle/battle2.jpg,,20000,,,,,,
26,26,scene/battle/battle2.jpg,,20000,,,,,,
27,27,scene/battle/battle2.jpg,,20000,,,,,,
28,28,scene/battle/battle2.jpg,,20000,,,,,,
29,29,scene/battle/battle2.jpg,,20000,,,,,,
30,30,scene/battle/battle2.jpg,,20000,,,,,,
31,31,scene/battle/battle3.jpg,,20000,,,,,,
32,32,scene/battle/battle3.jpg,,20000,,,,,,
33,33,scene/battle/battle3.jpg,,20000,,,,,,
34,34,scene/battle/battle3.jpg,,20000,,,,,,
35,35,scene/battle/battle3.jpg,,20000,,,,,,
36,36,scene/battle/battle3.jpg,,20000,,,,,,
37,37,scene/battle/battle3.jpg,,20000,,,,,,
38,38,scene/battle/battle3.jpg,,20000,,,,,,
39,39,scene/battle/battle3.jpg,,20000,,,,,,
40,40,scene/battle/battle3.jpg,,20000,,,,,,
41,41,scene/battle/battle4.jpg,,20000,,,,,,
42,42,scene/battle/battle4.jpg,,20000,,,,,,
43,43,scene/battle/battle4.jpg,,20000,,,,,,
44,44,scene/battle/battle4.jpg,,20000,,,,,,
45,45,scene/battle/battle4.jpg,,20000,,,,,,
46,46,scene/battle/battle4.jpg,,20000,,,,,,
47,47,scene/battle/battle4.jpg,,20000,,,,,,
48,48,scene/battle/battle4.jpg,,20000,,,,,,
49,49,scene/battle/battle4.jpg,,20000,,,,,,
50,50,scene/battle/battle4.jpg,,20000,,,,,,
51,51,,,20000,,,,,,
52,52,,,20000,,,,,,
53,53,,,20000,,,,,,
54,54,,,20000,,,,,,
55,55,,,20000,,,,,,
56,56,,,20000,,,,,,
57,57,,,20000,,,,,,
58,58,,,20000,,,,,,
59,59,,,20000,,,,,,
60,60,,,20000,,,,,,
61,61,,,20000,,,,,,
62,62,,,20000,,,,,,
63,63,,,20000,,,,,,
64,64,,,20000,,,,,,
65,65,,,20000,,,,,,
66,66,,,20000,,,,,,
67,67,,,20000,,,,,,
68,68,,,20000,,,,,,
69,69,,,20000,,,,,,
70,70,,,20000,,,,,,
71,71,,,20000,,,,,,
72,72,,,20000,,,,,,
73,73,,,20000,,,,,,
74,74,,,20000,,,,,,
75,75,,,20000,,,,,,
76,76,,,20000,,,,,,
77,77,,,20000,,,,,,
78,78,,,20000,,,,,,
79,79,,,20000,,,,,,
80,80,,,20000,,,,,,
81,81,,,20000,,,,,,
82,82,,,20000,,,,,,
83,83,,,20000,,,,,,
84,84,,,20000,,,,,,
85,85,,,20000,,,,,,
86,86,,,20000,,,,,,
87,87,,,20000,,,,,,
88,88,,,20000,,,,,,
89,89,,,20000,,,,,,
90,90,,,20000,,,,,,
91,91,,,20000,,,,,,
92,92,,,20000,,,,,,
93,93,,,20000,,,,,,
94,94,,,20000,,,,,,
95,95,,,20000,,,,,,
96,96,,,20000,,,,,,
97,97,,,20000,,,,,,
98,98,,,20000,,,,,,
99,99,,,20000,,,,,,
100,100,,,20000,,,,,,
