t_id,t_content
~s,
string,string
Id,
td_mode_chapter,关卡模式
td_mode_endless,无尽模式
td_mode_tutorial,教程模式
td_lobby_entry,{0} 第{1}关 {2}人
td_hud_default_player,玩家{0}
td_hud_stage,关卡 {0}
td_hud_wave,波次 {0}/{1}
td_hud_base,基地 {0}/{1}
td_hud_monster,怪物 {0}
td_hud_energy,能量 {0}%
td_hud_battle_end,战斗结束
td_hud_prepare,准备 {0}
td_hud_level_up_time,升级挑战 {0}
td_hud_battle_run,战斗中
td_hud_level_up_run,升级挑战中
td_hud_level_up_ready,升级挑战 可用
td_hud_score,得分 {0}
td_hud_full_level,已满级
td_hud_level_short,Lv.{0}
td_hud_hp,HP {0}%
td_hud_cd,CD {0}s
td_hud_skill_empty,技能 --
td_hud_skill_ready,技能 可用
td_hud_energy_empty,能量 --
td_hud_team_exp,升级挑战
td_notice_level_up,升级挑战
td_notice_elite,精英
td_notice_boss,BOSS
td_notice_theme,主题切换
td_notice_wave,第 {0} 波
td_notice_boss_skill,BOSS 技能吟唱
td_notice_upgrade_attack,攻击棒棒糖
td_lobby_profile,金币 {0} | 已解锁关卡 {1} | 无尽最佳 {2}
td_lobby_stage_label,选择关卡
td_lobby_endless_stage_label,入口配置
td_lobby_stage,关卡 {0}
td_lobby_stage_invalid,未配置
td_lobby_player_label,选择人数
td_lobby_player_count,{0}人
td_prepare_title,战斗准备
td_prepare_stage,关卡 {0}
td_prepare_player_count,人数 {0}
td_prepare_base,基地 {0}/{1}
td_prepare_player,玩家 {0}
td_prepare_role,角色 {0}
td_prepare_hand,惯用手 {0}
td_prepare_state_ready,已准备
td_prepare_state_no_ready,未准备
td_prepare_state_desc,所有人准备好后，按确定键开始
td_prepare_role_fallback,角色 {0}
td_hand_left,左手
td_hand_right,右手
td_pause_title,游戏暂停
td_pause_summary,可选择继续游戏、重新开始或返回主页。
td_result_chapter_title,恭喜
td_result_chapter_fail_title,闯关
td_result_stage,关卡 {0}
td_result_star,星级 {0}
td_result_base,基地 {0}/{1}
td_result_kill_summary,小怪 {0}  精英 {1}  Boss {2}
td_result_kill_reward,击杀奖励 {0}
td_result_clear_reward,通关奖励 {0}
td_result_total_reward,总金币 {0}
td_result_time,战斗时长 {0}
td_result_unlock_stage,已解锁关卡 {0}
td_result_endless_title,无尽结算
td_result_endless_wave,挑战波次 {0}
td_result_endless_best_wave,历史最佳 {0}
td_result_endless_kill_detail_line,{0} x{1}
td_result_endless_kill_detail_empty,本次未记录到怪物击杀明细
td_result_endless_rank_score,排行榜分数 {0}
td_result_endless_rank_position,当前排名 {0}
td_result_endless_rank_pending,排行榜上传待接 SDK
td_result_endless_rank_submitted,排行榜已上传
td_result_endless_rank_failed,排行榜上传失败
td_result_endless_fail,零食大军蛀坏了你的牙齿
td_result_endless_win,你成功击败了零食大军
td_loading_enter_battle,正在进入战斗
td_loading_return_lobby,正在返回主页
td_game_title,武装到牙齿
hero_tooth_1,破阵犬牙
hero_tooth_1_desc,高频近战输出，技能可短时冲刺并强化爆发。
hero_tooth_2,寒霜法牙
hero_tooth_2_desc,持续控制型角色，擅长减速与冻结敌群。
hero_tooth_3,爆弹门牙
hero_tooth_3_desc,范围轰炸型角色，擅长清理密集怪潮。
hero_tooth_4,穿云尖牙
hero_tooth_4_desc,中距离连射角色，技能具备穿透压制能力。
hero_tooth_normal_name,牙齿普攻
hero_tooth_normal_desc,持续体感动作触发普通攻击。
hero_tooth_1_skill_name,猛犬突袭
hero_tooth_1_skill_desc,5秒内暴击伤害提高50%。
hero_tooth_2_skill_name,冰霜蔓延
hero_tooth_2_skill_desc,使命中的中毒效果向周围蔓延，最多传染3个目标，持续5秒。
