t_id,t_content
~s,
string,string
Id,
td_mode_chapter,td_mode_chapter
td_mode_endless,td_mode_endless
td_mode_tutorial,td_mode_tutorial
td_lobby_entry,td_lobby_entry
td_hud_default_player,td_hud_default_player
td_hud_stage,td_hud_stage
td_hud_wave,td_hud_wave
td_hud_base,td_hud_base
td_hud_monster,td_hud_monster
td_hud_energy,td_hud_energy
td_hud_battle_end,td_hud_battle_end
td_hud_prepare,td_hud_prepare
td_hud_level_up_time,td_hud_level_up_time
td_hud_battle_run,td_hud_battle_run
td_hud_level_up_run,td_hud_level_up_run
td_hud_level_up_ready,td_hud_level_up_ready
td_hud_score,td_hud_score
td_hud_full_level,td_hud_full_level
td_hud_level_short,td_hud_level_short
td_hud_hp,td_hud_hp
td_hud_cd,td_hud_cd
td_hud_skill_empty,td_hud_skill_empty
td_hud_skill_ready,td_hud_skill_ready
td_hud_energy_empty,td_hud_energy_empty
td_hud_team_exp,td_hud_team_exp
td_notice_level_up,td_notice_level_up
td_notice_elite,td_notice_elite
td_notice_boss,td_notice_boss
td_notice_theme,td_notice_theme
td_notice_wave,td_notice_wave
td_notice_boss_skill,td_notice_boss_skill
td_notice_upgrade_attack,td_notice_upgrade_attack
td_lobby_profile,td_lobby_profile
td_lobby_stage_label,td_lobby_stage_label
td_lobby_endless_stage_label,td_lobby_endless_stage_label
td_lobby_stage,td_lobby_stage
td_lobby_stage_invalid,td_lobby_stage_invalid
td_lobby_player_label,td_lobby_player_label
td_lobby_player_count,td_lobby_player_count
td_prepare_title,td_prepare_title
td_prepare_stage,td_prepare_stage
td_prepare_player_count,td_prepare_player_count
td_prepare_base,td_prepare_base
td_prepare_player,td_prepare_player
td_prepare_role,td_prepare_role
td_prepare_hand,td_prepare_hand
td_prepare_state_ready,td_prepare_state_ready
td_prepare_role_fallback,td_prepare_role_fallback
td_hand_left,td_hand_left
td_hand_right,td_hand_right
td_pause_title,td_pause_title
td_pause_summary,td_pause_summary
td_result_chapter_title,td_result_chapter_title
td_result_chapter_fail_title,td_result_chapter_fail_title
td_result_stage,td_result_stage
td_result_star,td_result_star
td_result_base,td_result_base
td_result_kill_summary,td_result_kill_summary
td_result_kill_reward,td_result_kill_reward
td_result_clear_reward,td_result_clear_reward
td_result_total_reward,td_result_total_reward
td_result_time,td_result_time
td_result_unlock_stage,td_result_unlock_stage
td_result_endless_title,td_result_endless_title
td_result_endless_wave,td_result_endless_wave
td_result_endless_best_wave,td_result_endless_best_wave
td_result_endless_kill_detail_line,td_result_endless_kill_detail_line
td_result_endless_kill_detail_empty,td_result_endless_kill_detail_empty
td_result_endless_rank_score,td_result_endless_rank_score
td_result_endless_rank_position,td_result_endless_rank_position
td_result_endless_rank_pending,td_result_endless_rank_pending
td_result_endless_rank_submitted,td_result_endless_rank_submitted
td_result_endless_rank_failed,td_result_endless_rank_failed
td_loading_enter_battle,td_loading_enter_battle
td_loading_return_lobby,td_loading_return_lobby
td_game_title,td_game_title
hero_tooth_1,hero_tooth_1
hero_tooth_1_desc,hero_tooth_1_desc
hero_tooth_2,hero_tooth_2
hero_tooth_2_desc,hero_tooth_2_desc
hero_tooth_3,hero_tooth_3
hero_tooth_3_desc,hero_tooth_3_desc
hero_tooth_4,hero_tooth_4
hero_tooth_4_desc,hero_tooth_4_desc
hero_tooth_normal_name,hero_tooth_normal_name
hero_tooth_normal_desc,hero_tooth_normal_desc
hero_tooth_1_skill_name,hero_tooth_1_skill_name
hero_tooth_1_skill_desc,
hero_tooth_2_skill_name,hero_tooth_2_skill_name
hero_tooth_2_skill_desc,
hero_tooth_3_skill_name,hero_tooth_3_skill_name
hero_tooth_3_skill_desc,
