t_id,t_name,t_desc,t_type,t_ui_show_rot_y,t_model,t_head,t_hit_point,t_fire_positions,t_fire_points,t_size,t_MoveSpeed,t_base_damage,t_skill_id,t_td_boss_skill_prepare_ms,t_die_time,t_die_effect_start_time
~s,~s,~s,~s,,~s,~s,~s,~s,~s,~s,~s,~s,,~s,~s,~s
int64,string,string,int32,int32,string,string,int32,int32[][],string,int32,int32,int32,int64[],int32,int32,int32
Id,,,怪物类型0普通 1精英 2首领,,,,受击点,开火点（x+y+z|x+y+z 数值放大1000）,开火点（预制件节点名，point+point）,模型半径,移动速度（米/秒 放大1000倍）,到基地扣血量_0表示清空剩余血量,,塔防Boss技能读条(ms),放大1000，毫秒,放大1000，毫秒
1,冰淇淋小团子1,主题1小怪1,0,119,prefab/monsters/small/qiaokeli.jpg,texture/head/small_monster/1.jpg,600,,,600,500,1,,,3000,1200
2,冰淇淋小团子2,主题1小怪2,0,119,prefab/monsters/small/shutiao.jpg,texture/head/small_monster/1.jpg,713,,,600,500,1,,,3000,1000
3,冰淇淋小团子3,主题1小怪3,0,119,prefab/monsters/small/xiaoxiong.jpg,texture/head/small_monster/1.jpg,509,,,600,500,1,,,3000,1000
4,冰淇淋裹酱球1,主题1精英1,0,119,prefab/monsters/small/xiaoxiong03.jpg,texture/head/small_monster/1.jpg,509,,,600,500,1,,,3000,1000
5,冰淇淋裹酱球2,主题1精英2,0,119,prefab/monsters/small/xiaoxiong04.jpg,texture/head/small_monster/1.jpg,509,,,600,500,1,,,3000,1000
6,冰淇淋王,主题1精英2,2,119,prefab/monsters/boss/jiangbingren.jpg,texture/head/small_monster/1.jpg,509,,,600,500,0,,,3200,1200
11,蛋糕小团子1,主题2小怪1,0,119,prefab/monsters/small/7.jpg,texture/head/small_monster/1.jpg,814,,,600,1000,1,,,2000,1000
12,蛋糕小团子2,主题2小怪2,0,119,prefab/monsters/small/8.jpg,texture/head/small_monster/1.jpg,814,,,600,1000,1,,,2000,1000
13,蛋糕小团子3,主题2小怪3,0,119,prefab/monsters/small/9.jpg,texture/head/small_monster/1.jpg,814,,,600,1000,1,,,2000,1000
14,蛋糕裹糖球1,主题2精英1,0,119,prefab/monsters/small/10.jpg,texture/head/small_monster/1.jpg,814,,,600,1000,1,,,2000,1000
15,蛋糕裹糖球2,主题2精英2,0,119,prefab/monsters/small/11.jpg,texture/head/small_monster/1.jpg,814,,,600,1000,1,,,2000,1000
16,蛋糕王,主题2精英2,0,119,prefab/monsters/small/11.jpg,texture/head/small_monster/1.jpg,814,,,600,1000,1,,,2000,1000
21,果冻小团子1,主题3小怪1,0,119,prefab/monsters/small/13.jpg,texture/head/small_monster/1.jpg,679,,,600,1000,1,,,2000,1000
22,果冻小团子2,主题3小怪2,0,119,prefab/monsters/small/14.jpg,texture/head/small_monster/1.jpg,356,,,600,1000,1,,,2000,1000
23,果冻小团子3,主题3小怪3,0,119,prefab/monsters/small/15.jpg,texture/head/small_monster/1.jpg,610,,,600,1000,1,,,2000,1000
24,果冻裹糖球1,主题3精英1,0,119,prefab/monsters/small/16.jpg,texture/head/small_monster/1.jpg,887,,,600,1000,1,,,2000,1000
25,果冻裹糖球2,主题3精英2,0,119,prefab/monsters/small/17.jpg,texture/head/small_monster/1.jpg,916,,,600,1000,1,,,2000,1000
26,果冻王,主题3精英2,0,119,prefab/monsters/small/17.jpg,texture/head/small_monster/1.jpg,916,,,600,1000,1,,,2000,1000
31,甜甜圈小团子1,主题4小怪1,0,119,prefab/monsters/small/19.jpg,texture/head/small_monster/1.jpg,1233,,,600,1000,1,,,2000,1000
32,甜甜圈小团子2,主题4小怪2,0,119,prefab/monsters/small/20.jpg,texture/head/small_monster/1.jpg,515,,,600,1000,1,,,2000,1000
33,甜甜圈小团子3,主题4小怪3,0,119,prefab/monsters/small/21.jpg,texture/head/small_monster/1.jpg,361,,,600,1000,1,,,2000,1000
34,甜甜圈裹酱球1,主题4精英1,0,119,prefab/monsters/small/22.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
35,甜甜圈裹酱球2,主题4精英2,0,119,prefab/monsters/small/23.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
36,甜甜圈王,主题4精英2,0,119,prefab/monsters/small/23.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
41,水果糖1,主题5小怪1,0,119,prefab/monsters/small/25.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
42,水果糖2,主题5小怪2,0,119,prefab/monsters/small/26.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
43,水果糖3,主题5小怪3,0,119,prefab/monsters/small/27.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
44,大白兔奶糖1,主题5精英1,0,119,prefab/monsters/small/28.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
45,大白兔奶糖2,主题5精英2,0,119,prefab/monsters/small/29.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
46,大白兔王,主题5精英2,0,119,prefab/monsters/small/29.jpg,texture/head/small_monster/1.jpg,848,,,600,1000,1,,,2000,1000
