t_id,t_desc,t_class_Id,t_skill_precon,t_skill_cast_style,t_cooldown,t_Interval,t_keep_time,t_hurt_interval,t_hurt_param_type,t_hurt_param0,t_hurt_param1,t_bullet_id,t_skill_selfbuff_id,t_split_bullet_id
占位,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,~s,
int64,string,int64,int32[],int32,int32,int32,int32,int32,int32,int32,int32,int32,int64[],int64
技能ID,技能描述,技能类型Id 1001技能  1002普攻（发子弹）,技能施放条件(条件buff+条件buff层数+是否清空条件buff(0清空，1不清空)),技能施放方式（0手动施放；1自动施放）,冷却时间,基础攻击间隔（ms）,持续释放时间（ms，0表示非持续技能）,持续伤害间隔（ms，0表示只在施法点结算一次）,技能生效方式 0落点圆周围 1矩形(长+宽) 2施法者周围 3施法者周围角度（扇形）,技能范围计算参数，圆形只填这一列（半径），矩形（长），扇形（半径）(放大1000倍),技能范围计算参数，矩形（宽），扇形（角度）（放大1000倍）,发射子弹,技能施放时为自己添加Buff,3/5级技能质变
100,角色1，1级普攻,1002,0,0,0,1000,600,100,0,1000,,1000,920005,
101,角色1，3级进阶技能,1002,920005+6+0,1,0,1000,0,0,0,1000,,1001,920006,
102,角色1，5级进阶技能,1002,920005+3+0,1,0,1000,0,0,0,1000,,1001,920006,
103,角色1，技能,1001,0,0,15000,0,0,0,0,500,,0,921001,
110,角色2，1级普攻,1002,0,0,0,1000,0,0,0,1000,,1000,,
111,角色2，3级进阶,1002,0,0,0,1000,0,0,0,1000,,1000,,
112,角色2，5级进阶,1002,0,0,0,1000,0,0,0,1000,,1000,,
113,角色2，技能,1001,0,0,1000,0,0,0,0,500,,0,,
120,角色3，1级普攻,1002,0,0,0,1000,0,0,0,1000,,1200,,
121,角色3，3级进阶,1002,0,0,0,1000,0,0,0,1000,,1201,,
122,角色3，5级进阶,1002,0,0,0,1000,0,0,0,1000,,1203,,
123,角色3，技能,1001,0,0,15000,0,0,0,0,500,,0,921003,
130,角色4，1级普攻,1002,0,0,0,1000,0,0,0,1000,,1000,,
131,角色4，3级进阶,1002,0,0,0,1000,0,0,0,1000,,1000,,
132,角色4，5级进阶,1002,0,0,0,1000,0,0,0,1000,,1000,,
133,角色4，技能,1001,0,0,1000,0,0,0,0,500,,0,,
