t_id,t_allow_multi,t_res_abname
~s,~s,~s
int32,int32,string
Id,同时播放的最低时间间隔(毫秒),
1,100,sound/short_effect/ui/_out_button.jpg
2,100,sound/short_effect/ui/_out_sound_loading.jpg
3,100,sound/short_effect/ui/_out_sound_change1.jpg
4,100,sound/short_effect/ui/_out_sound_change2.jpg
5,100,sound/short_effect/ui/_out_pop.jpg
6,100,sound/short_effect/ui/_out_close.jpg
7,100,sound/short_effect/ui/_out_sound_fail.jpg
8,100,sound/short_effect/ui/_out_sound_bosscome.jpg
9,100,sound/short_effect/ui/_out_sound_shua.jpg
10,100,sound/short_effect/world/player/_out_player0_shoot.jpg
11,100,sound/short_effect/world/player/_out_player0_hit.jpg
12,100,sound/short_effect/world/player/_out_player0_special_shoot.jpg
13,100,sound/short_effect/world/player/_out_player0_special_hit.jpg
30,100,sound/short_effect/world/player/_out_player2_shoot.jpg
31,100,sound/short_effect/world/player/_out_player2_hit.jpg
100,100,sound/short_effect/world/effect/_out_ice_split.jpg
101,100,sound/short_effect/world/effect/_out_ice_broken.jpg
102,100,sound/short_effect/ui/_out_sound_countdown.jpg
103,100,sound/short_effect/world/effect/_out_disappear.jpg
104,100,sound/short_effect/world/effect/_out_level_up.jpg
105,100,sound/short_effect/ui/_out_sound_getprop.jpg
106,100,sound/short_effect/ui/_out_sound_star.jpg
200,100,sound/compressed/voice/_out_speech_boss_0.jpg
201,100,sound/compressed/voice/_out_speech_boss_1.jpg
300,0,sound/streaming/music/_out_bgm_home.jpg
301,0,sound/streaming/music/_out_bgm_sence1.jpg
302,0,sound/streaming/music/_out_bgm_sence1.jpg
303,0,sound/streaming/music/_out_bgm_sence1.jpg
304,0,sound/streaming/music/_out_bgm_sence1.jpg
305,0,sound/streaming/music/_out_bgm_sence1.jpg
306,100,sound/streaming/music/_out_bgm_win.jpg
307,100,sound/streaming/music/_out_bgm_fail.jpg
308,0,sound/streaming/music/_out_bgm_end.jpg
